Date,Open,Close,High,Low,Volume
01-Apr-16,190.2,190,190.4,185.85,25024476
04-Apr-16,190.2,190.9,193.25,188.75,14152552
05-Apr-16,189.05,187.65,189.6,185.4,27411314
06-Apr-16,187.9,191.45,191.55,187.65,15973240
07-Apr-16,192.05,191.3,194.85,189.8,23674744
08-Apr-16,191.65,190.55,192.7,190.15,15921167
11-Apr-16,190.8,193.5,195.4,189.8,16791752
12-Apr-16,193.9,196.3,196.7,190.28,20950506
13-Apr-16,187.7,181,195,180,93928480
14-Apr-16,179.5,177.65,184.23,177.62,43507096
15-Apr-16,179.5,179.55,180.8,177.39,24555868
18-Apr-16,177.85,180.95,181.32,177.25,19610290
19-Apr-16,180.85,181.8,183.4,179.5,20942060
20-Apr-16,181.95,182,182.68,178.9,17635360
21-Apr-16,182.25,185,186.25,181.4,29732934
22-Apr-16,183.7,186.6,190.4,183.15,19888652
25-Apr-16,186.1,184.75,187.55,183.3,20728684
26-Apr-16,185.35,183.45,186.8,183.45,19007056
27-Apr-16,181,174.8,181.2,174.8,42348448
28-Apr-16,173.8,173.3,175.38,171.75,21830458
29-Apr-16,172.1,172.1,174.66,171.48,22425618
03-May-16,172,169.25,172.3,168.5,18697944
04-May-16,169,160.05,169.15,160.05,30350948
05-May-16,161.25,159.9,164.31,159.1,24837688
06-May-16,159.8,159.25,161.5,158.7,27360882
09-May-16,160.4,156.8,161,156.8,21193776
10-May-16,157.95,159.9,160.3,157.45,22433904
11-May-16,159.4,159.35,160.4,158.05,23647496
12-May-16,158.25,155.6,160.8,155.6,29464842
13-May-16,154.95,161.65,162.95,153.95,36383800
16-May-16,160.25,166.7,167.25,160,33296992
17-May-16,167.5,164.5,171.56,163.8,27047788
18-May-16,164.3,163,165.4,162.97,26194918
19-May-16,161.05,159.9,164.25,159.9,48667688
20-May-16,161.15,164.3,164.75,160.7,48948964
23-May-16,164.25,160.1,164.35,160.1,26772170
24-May-16,160.5,171,171.95,159.8,36995572
25-May-16,170.5,167,171.7,164.7,29734616
26-May-16,167.45,168.6,170.26,166.65,17434236
27-May-16,168.15,167.25,169.1,165.8,13714571
31-May-16,167,165.1,167.75,164.45,23315916
01-Jun-16,164.85,166.95,167.45,162.81,24720680
02-Jun-16,166.95,169.5,170.9,166.6,25443080
03-Jun-16,169.6,162,170.45,161.98,31356148
06-Jun-16,161.15,159.2,163.1,159.17,32959804
07-Jun-16,159.25,156.8,161.25,156.4,33201992
08-Jun-16,157.35,160.55,160.65,157.05,33272490
09-Jun-16,159.95,157.9,162.35,157.9,22512512
10-Jun-16,157.25,151.55,157.45,151.55,25058332
13-Jun-16,149.7,149.55,150.55,148.2,33690480
14-Jun-16,148.1,147.35,150.77,147.35,29229556
